Date,Year,Month,Month_Name,Quarter,Region,Revenue_NGN,COGS_NGN,Gross_Profit_NGN,Operating_Expenses_NGN,Marketing_Spend_NGN,Net_Profit_NGN,Units_Sold,Gross_Margin_Pct
2019-06-01,2019,6,Jun,Q2,Abuja,10868343.12,6670508.05,4197835.07,1903415.87,708154.84,1606093.44,3857,38.62
2019-06-01,2019,6,Jun,Q2,Kano,10990315.27,6745369.16,4244946.11,1924777.34,844778.24,1624118.14,3167,38.62
2019-06-01,2019,6,Jun,Q2,Port Harcourt,8549658.93,5247402.31,3302256.63,1497335.55,659704.16,1263444.75,2505,38.62
2019-06-01,2019,6,Jun,Q2,Ibadan,6507817.98,3994210.68,2513607.29,1139739.88,510875.81,961707.19,2111,38.62
2019-07-01,2019,7,Jul,Q3,Lagos,24282223.19,15509572.54,8772650.65,3704834.41,1674383.53,3547471.37,8013,36.13
2019-07-01,2019,7,Jul,Q3,Abuja,12835684.4,8198424.7,4637259.7,1958390.91,768343.25,1875208.16,4376,36.13
2019-07-01,2019,7,Jul,Q3,Kano,11969723.33,7645316.94,4324406.39,1826267.82,882735.63,1748697.0,4237,36.13
2019-07-01,2019,7,Jul,Q3,Port Harcourt,10156636.16,6487259.59,3669376.57,1549637.97,658481.22,1483817.02,3172,36.13
2019-07-01,2019,7,Jul,Q3,Ibadan,7215743.8,4608849.07,2606894.72,1100934.44,456366.32,1054172.2,2737,36.13
2019-08-01,2019,8,Aug,Q3,Lagos,22528459.47,13454480.19,9073979.28,3693142.7,1205543.16,3766585.61,7412,40.28
2019-08-01,2019,8,Aug,Q3,Abuja,11429082.84,6825693.91,4603388.93,1873596.1,783424.11,1910854.98,4520,40.28
2019-08-01,2019,8,Aug,Q3,Kano,10213092.51,6099478.35,4113614.16,1674255.98,725426.5,1707550.72,3645,40.28
2019-08-01,2019,8,Aug,Q3,Port Harcourt,8469659.09,5058262.44,3411396.65,1388450.89,602931.88,1416062.03,3421,40.28
2019-08-01,2019,8,Aug,Q3,Ibadan,6785718.21,4052576.76,2733141.45,1112398.55,540137.66,1134520.03,2430,40.28
2019-09-01,2019,9,Sep,Q3,Lagos,20940290.42,11767593.56,9172696.87,4092011.13,1557622.29,3556480.01,6323,43.8
2019-09-01,2019,9,Sep,Q3,Abuja,13085390.42,7353458.47,5731931.95,2557059.25,950016.95,2222410.89,3976,43.8
2019-09-01,2019,9,Sep,Q3,Kano,10772789.43,6053870.55,4718918.88,2105146.27,789800.67,1829640.83,3099,43.8
2019-09-01,2019,9,Sep,Q3,Port Harcourt,9244236.45,5194885.8,4049350.65,1806446.7,713568.45,1570032.77,2733,43.8
2019-09-01,2019,9,Sep,Q3,Ibadan,6871125.34,3861293.65,3009831.7,1342709.24,345896.64,1166985.72,2211,43.8
2019-10-01,2019,10,Oct,Q4,Lagos,23810709.33,14794176.56,9016532.77,3856813.33,1275409.63,3611803.61,6716,37.87
2019-10-01,2019,10,Oct,Q4,Abuja,12837855.05,7976473.6,4861381.45,2079451.3,929221.23,1947351.11,4229,37.87
2019-10-01,2019,10,Oct,Q4,Kano,12471385.75,7748777.25,4722608.5,2020091.3,763823.96,1891762.04,3992,37.87
2019-10-01,2019,10,Oct,Q4,Port Harcourt,9904377.97,6153832.48,3750545.49,1604292.27,561656.23,1502377.25,3280,37.87
2019-10-01,2019,10,Oct,Q4,Ibadan,8812917.84,5475681.58,3337236.26,1427499.64,697069.76,1336815.63,2285,37.87
2019-11-01,2019,11,Nov,Q4,Lagos,23632813.3,14795996.42,8836816.88,3716135.67,1555772.52,3584476.85,8046,37.39
2019-11-01,2019,11,Nov,Q4,Abuja,15718559.77,9841052.4,5877507.37,2471660.9,1047101.74,2384092.53,4031,37.39
2019-11-01,2019,11,Nov,Q4,Kano,14097060.5,8825866.56,5271193.94,2216688.66,971033.15,2138153.69,3908,37.39
2019-11-01,2019,11,Nov,Q4,Port Harcourt,11269288.34,7055459.19,4213829.14,1772036.36,775628.41,1709254.95,3221,37.39
2019-11-01,2019,11,Nov,Q4,Ibadan,8859571.52,5546787.29,3312784.23,1393121.05,455057.64,1343764.22,2762,37.39
2019-12-01,2019,12,Dec,Q4,Lagos,27210856.13,16493254.18,10717601.95,4747549.85,2087288.0,4179036.47,8856,39.39
2019-12-01,2019,12,Dec,Q4,Abuja,15999456.5,9697714.08,6301742.41,2791467.38,933111.27,2457192.52,4811,39.39
2019-12-01,2019,12,Dec,Q4,Kano,13778725.36,8351667.38,5427057.97,2404010.56,834998.57,2116133.19,4224,39.39
2019-12-01,2019,12,Dec,Q4,Port Harcourt,12247098.83,7423306.09,4823792.74,2136783.64,970360.23,1880906.37,3301,39.39
2019-12-01,2019,12,Dec,Q4,Ibadan,10420400.13,6316093.37,4104306.76,1818074.7,688610.17,1600362.44,2922,39.39
2020-01-01,2020,1,Jan,Q1,Lagos,18774504.53,11773430.17,7001074.36,3741430.62,1324389.88,2281750.61,6753,37.29
2020-01-01,2020,1,Jan,Q1,Abuja,10468185.5,6564564.77,3903620.73,2086126.42,781723.45,1272246.02,3916,37.29
2020-01-01,2020,1,Jan,Q1,Kano,10675691.35,6694691.01,3981000.34,2127478.7,730243.51,1297465.15,3426,37.29
2020-01-01,2020,1,Jan,Q1,Port Harcourt,8190575.3,5136282.89,3054292.41,1632238.51,622335.61,995437.73,2946,37.29
2020-01-01,2020,1,Jan,Q1,Ibadan,6156200.34,3860533.03,2295667.31,1226823.13,377337.53,748190.92,2037,37.29
2020-02-01,2020,2,Feb,Q1,Lagos,17120104.87,10261440.92,6858663.95,2775216.31,933259.83,2858413.35,5857,40.06
2020-02-01,2020,2,Feb,Q1,Abuja,9460193.6,5670246.68,3789946.93,1533523.53,748277.02,1579496.38,3045,40.06
2020-02-01,2020,2,Feb,Q1,Kano,8846988.13,5302703.85,3544284.28,1434121.23,566745.09,1477114.14,2945,40.06
2020-02-01,2020,2,Feb,Q1,Port Harcourt,6894607.23,4132486.65,2762120.59,1117634.89,356390.97,1151139.99,2244,40.06
2020-02-01,2020,2,Feb,Q1,Ibadan,5918215.48,3547257.39,2370958.09,959359.08,473407.11,988119.3,1956,40.06
2020-03-01,2020,3,Mar,Q1,Lagos,20694406.79,12463688.31,8230718.47,3799633.34,1512132.49,3101759.59,5863,39.77
2020-03-01,2020,3,Mar,Q1,Abuja,11734456.63,7067349.72,4667106.91,2154525.77,673797.7,1758806.8,3506,39.77
2020-03-01,2020,3,Mar,Q1,Kano,9781375.07,5891060.87,3890314.19,1795926.75,769026.68,1466071.21,2811,39.77
2020-03-01,2020,3,Mar,Q1,Port Harcourt,8355735.5,5032436.25,3323299.25,1534169.67,586163.37,1252390.71,2382,39.77
2020-03-01,2020,3,Mar,Q1,Ibadan,6697159.63,4033520.32,2663639.31,1229643.9,357673.38,1003796.79,1947,39.77
2020-04-01,2020,4,Apr,Q2,Lagos,14448170.29,8564212.2,5883958.09,2717426.04,1057166.14,2216572.43,4478,40.72
2020-04-01,2020,4,Apr,Q2,Abuja,8061432.68,4778447.29,3282985.39,1516202.16,536546.43,1236748.26,2694,40.72
2020-04-01,2020,4,Apr,Q2,Kano,7302470.09,4328569.1,2973900.99,1373455.74,453516.15,1120311.68,2434,40.72
2020-04-01,2020,4,Apr,Q2,Port Harcourt,5673726.76,3363124.81,2310601.95,1067120.09,412219.61,870437.3,1768,40.72
2020-04-01,2020,4,Apr,Q2,Ibadan,4914113.16,2912860.73,2001252.43,924251.22,277101.56,753900.84,1580,40.72
2020-05-01,2020,5,May,Q2,Lagos,13778979.77,7613463.84,6165515.93,2230567.11,833871.15,2754464.18,4214,44.75
2020-05-01,2020,5,May,Q2,Abuja,8480373.24,4685761.65,3794611.59,1372818.74,535317.18,1695255.0,2565,44.75
2020-05-01,2020,5,May,Q2,Kano,8010636.25,4426212.27,3584423.97,1296776.83,524053.3,1601353.0,2292,44.75
2020-05-01,2020,5,May,Q2,Port Harcourt,6554637.49,3621711.94,2932925.55,1061077.02,450058.46,1310293.97,1925,44.75
2020-05-01,2020,5,May,Q2,Ibadan,5306880.79,2932274.06,2374606.73,859087.82,288759.08,1060863.23,1679,44.75
2020-06-01,2020,6,Jun,Q2,Lagos,18258274.02,10239041.83,8019232.18,3403539.78,1054366.6,3230984.68,5179,43.92
2020-06-01,2020,6,Jun,Q2,Abuja,9702826.69,5441239.86,4261586.83,1808711.85,628534.97,1717012.48,3190,43.92
2020-06-01,2020,6,Jun,Q2,Kano,8549171.43,4794282.52,3754888.91,1593658.03,489049.95,1512861.62,2723,43.92
2020-06-01,2020,6,Jun,Q2,Port Harcourt,6827923.93,3829025.61,2998898.32,1272798.88,367624.81,1208269.61,2090,43.92
2020-06-01,2020,6,Jun,Q2,Ibadan,5533633.78,3103201.74,2430432.04,1031529.2,383072.67,979231.99,1675,43.92
2020-07-01,2020,7,Jul,Q3,Lagos,15272667.41,8447967.83,6824699.59,2571751.59,1174523.9,2977063.6,4629,44.69
2020-07-01,2020,7,Jul,Q3,Abuja,9156961.54,5065108.43,4091853.11,1541933.03,505185.87,1784944.05,2785,44.69
2020-07-01,2020,7,Jul,Q3,Kano,7868297.34,4352292.95,3516004.38,1324935.95,433291.81,1533747.9,2261,44.69
2020-07-01,2020,7,Jul,Q3,Port Harcourt,6652142.12,3679585.31,2972556.81,1120148.6,350308.96,1296685.75,1929,44.69
2020-07-01,2020,7,Jul,Q3,Ibadan,5182280.03,2866541.5,2315738.53,872639.76,291192.37,1010169.14,1617,44.69
2020-08-01,2020,8,Aug,Q3,Lagos,14694274.05,9017009.62,5677264.42,2668704.86,1039059.23,2105991.69,5295,38.64
2020-08-01,2020,8,Aug,Q3,Abuja,7950463.52,4878730.71,3071732.81,1443925.75,547286.15,1139464.94,3169,38.64
2020-08-01,2020,8,Aug,Q3,Kano,7207880.26,4423051.15,2784829.11,1309061.28,559520.15,1033037.49,2884,38.64
2020-08-01,2020,8,Aug,Q3,Port Harcourt,5985265.9,3672804.8,2312461.1,1087015.81,444023.17,857811.7,2187,38.64
2020-08-01,2020,8,Aug,Q3,Ibadan,5354436.8,3285702.17,2068734.63,972447.6,301350.27,767400.92,1722,38.64
2020-09-01,2020,9,Sep,Q3,Lagos,28040840.3,16303942.75,11736897.55,5094361.32,1922133.51,4649775.36,9932,41.86
2020-09-01,2020,9,Sep,Q3,Abuja,16019257.27,9314166.43,6705090.84,2910322.36,1160180.74,2656337.93,5655,41.86
2020-09-01,2020,9,Sep,Q3,Kano,13634533.06,7927602.88,5706930.17,2477074.05,973512.31,2260899.29,4918,41.86
2020-09-01,2020,9,Sep,Q3,Port Harcourt,13047815.87,7586464.62,5461351.24,2370481.33,860678.36,2163608.94,4275,41.86
2020-09-01,2020,9,Sep,Q3,Ibadan,9200412.12,5349447.12,3850965.0,1671498.54,607029.56,1525626.52,3385,41.86
2020-10-01,2020,10,Oct,Q4,Lagos,27426634.09,16479486.97,10947147.11,4848719.92,1681760.74,4268899.03,10620,39.91
2020-10-01,2020,10,Oct,Q4,Abuja,15090711.99,9067360.98,6023351.01,2667867.87,850262.63,2348838.2,6122,39.91
2020-10-01,2020,10,Oct,Q4,Kano,14305262.99,8595418.39,5709844.6,2529009.34,1097439.96,2226584.68,5326,39.91
2020-10-01,2020,10,Oct,Q4,Port Harcourt,12442999.85,7476464.42,4966535.43,2199782.19,916739.72,1936727.27,4861,39.91
2020-10-01,2020,10,Oct,Q4,Ibadan,9805089.58,5891457.39,3913632.19,1733429.38,648245.81,1526141.97,3530,39.91
2020-11-01,2020,11,Nov,Q4,Lagos,32478710.09,20810949.39,11667760.7,5018431.28,2044527.86,4654530.6,10814,35.92
2020-11-01,2020,11,Nov,Q4,Abuja,17214185.44,11030103.75,6184081.69,2659841.06,1048214.25,2466968.44,5740,35.92
2020-11-01,2020,11,Nov,Q4,Kano,16859055.9,10802552.14,6056503.76,2604968.4,1023056.43,2416074.76,5412,35.92
2020-11-01,2020,11,Nov,Q4,Port Harcourt,14797367.72,9481511.73,5315855.99,2286407.7,845178.35,2120613.8,4535,35.92
2020-11-01,2020,11,Nov,Q4,Ibadan,10283177.44,6589014.3,3694163.14,1588899.9,590035.68,1473684.27,3369,35.92
2020-12-01,2020,12,Dec,Q4,Lagos,31842132.49,18306972.49,13535160.0,6106210.51,1864447.77,5200264.64,12611,42.51
2020-12-01,2020,12,Dec,Q4,Abuja,18234576.15,10483590.7,7750985.45,3496755.77,955619.66,2977960.78,8068,42.51
2020-12-01,2020,12,Dec,Q4,Kano,17383970.22,9994552.49,7389417.73,3333639.22,1381527.73,2839044.96,6730,42.51
2020-12-01,2020,12,Dec,Q4,Port Harcourt,13534322.09,7781277.28,5753044.81,2595410.96,1070349.86,2210343.69,5597,42.51
2020-12-01,2020,12,Dec,Q4,Ibadan,12219148.42,7025145.5,5194002.91,2343206.52,705498.01,1995557.47,4783,42.51
2021-01-01,2021,1,Jan,Q1,Lagos,21575320.82,12751840.78,8823480.05,3582344.76,1680313.6,3668794.7,7886,40.9
2021-01-01,2021,1,Jan,Q1,Abuja,13132242.74,7761658.32,5370584.42,2180464.49,766914.74,2233083.94,4438,40.9
2021-01-01,2021,1,Jan,Q1,Kano,12217679.44,7221116.39,4996563.05,2028611.32,729522.25,2077566.21,3751,40.9
2021-01-01,2021,1,Jan,Q1,Port Harcourt,9644091.39,5700027.31,3944064.09,1601295.32,552339.22,1639938.13,3295,40.9
2021-01-01,2021,1,Jan,Q1,Ibadan,7327225.91,4330671.09,2996554.82,1216605.29,429807.13,1245964.67,2679,40.9
2021-02-01,2021,2,Feb,Q1,Lagos,22712991.4,14208227.92,8504763.48,3618768.38,1463493.5,3420196.57,6961,37.44
2021-02-01,2021,2,Feb,Q1,Abuja,12879123.64,8056601.66,4822521.99,2051978.29,774011.23,1939380.58,3908,37.44
2021-02-01,2021,2,Feb,Q1,Kano,10856589.39,6791395.01,4065194.38,1729736.15,865257.22,1634820.76,3524,37.44
2021-02-01,2021,2,Feb,Q1,Port Harcourt,9336110.15,5840251.45,3495858.7,1487484.39,538126.1,1405862.02,3314,37.44
2021-02-01,2021,2,Feb,Q1,Ibadan,7910634.91,4948538.12,2962096.79,1260369.23,536888.16,1191209.29,2631,37.44
2021-03-01,2021,3,Mar,Q1,Lagos,24148083.28,13833949.52,10314133.76,3671444.57,1460139.16,4649882.43,8582,42.71
2021-03-01,2021,3,Mar,Q1,Abuja,14814603.81,8486987.51,6327616.3,2252393.95,1169624.93,2852655.64,5237,42.71
2021-03-01,2021,3,Mar,Q1,Kano,11725803.68,6717476.26,5008327.42,1782776.62,916374.06,2257885.56,4642,42.71
2021-03-01,2021,3,Mar,Q1,Port Harcourt,9866212.06,5652153.75,4214058.3,1500046.62,712672.21,1899808.18,3472,42.71
2021-03-01,2021,3,Mar,Q1,Ibadan,8416272.6,4821512.7,3594759.9,1279599.62,456104.5,1620612.19,3148,42.71
2021-04-01,2021,4,Apr,Q2,Lagos,28977997.17,16160970.81,12817026.37,5202844.28,1591172.5,5329927.46,8524,44.23
2021-04-01,2021,4,Apr,Q2,Abuja,14962486.36,8344548.59,6617937.78,2686434.33,1046714.45,2752052.41,5373,44.23
2021-04-01,2021,4,Apr,Q2,Kano,14283191.38,7965707.14,6317484.24,2564470.56,1090036.27,2627109.58,4500,44.23
2021-04-01,2021,4,Apr,Q2,Port Harcourt,11654817.47,6499868.29,5154949.18,2092560.09,736281.99,2143672.36,4031,44.23
2021-04-01,2021,4,Apr,Q2,Ibadan,9300324.9,5186772.51,4113552.39,1669823.55,549103.61,1710610.19,3051,44.23
2021-05-01,2021,5,May,Q2,Lagos,29625406.07,17152373.79,12473032.29,5447466.88,1687652.17,4917895.79,11265,42.1
2021-05-01,2021,5,May,Q2,Abuja,17324731.99,10030589.22,7294142.77,3185640.85,1148743.83,2875951.35,6315,42.1
2021-05-01,2021,5,May,Q2,Kano,15608432.49,9036894.47,6571538.02,2870050.75,835159.48,2591041.09,5906,42.1
2021-05-01,2021,5,May,Q2,Port Harcourt,13072213.95,7568486.97,5503726.98,2403695.41,784949.43,2170022.1,4924,42.1
2021-05-01,2021,5,May,Q2,Ibadan,9206308.69,5330223.91,3876084.78,1692839.64,631572.87,1528271.6,4042,42.1
2021-06-01,2021,6,Jun,Q2,Lagos,30877644.71,17480517.95,13397126.76,4657256.36,2274382.97,6117909.28,12867,43.39
2021-06-01,2021,6,Jun,Q2,Abuja,16572287.83,9381938.87,7190348.97,2499588.09,952155.4,3283532.61,6708,43.39
2021-06-01,2021,6,Jun,Q2,Kano,16411882.12,9291129.64,7120752.48,2475394.19,1101182.98,3251750.8,5760,43.39
2021-06-01,2021,6,Jun,Q2,Port Harcourt,13715556.43,7764680.01,5950876.43,2068709.03,826533.07,2717517.18,5500,43.39
2021-06-01,2021,6,Jun,Q2,Ibadan,11071511.36,6267827.58,4803683.78,1669909.32,834720.75,2193642.12,3891,43.39
2021-07-01,2021,7,Jul,Q3,Lagos,28986567.11,18637486.25,10349080.86,5090176.06,2142654.02,3681233.36,9124,35.7
2021-07-01,2021,7,Jul,Q3,Abuja,16626960.67,10690633.0,5936327.67,2919771.66,1191613.99,2111589.21,5071,35.7
2021-07-01,2021,7,Jul,Q3,Kano,16410287.08,10551318.43,5858968.65,2881722.77,1162151.15,2084072.12,4878,35.7
2021-07-01,2021,7,Jul,Q3,Port Harcourt,13300467.73,8551798.62,4748669.12,2335624.02,802960.94,1689131.57,3817,35.7
2021-07-01,2021,7,Jul,Q3,Ibadan,10029744.64,6448822.55,3580922.08,1761269.83,677025.35,1273756.58,3388,35.7
2021-08-01,2021,8,Aug,Q3,Lagos,31805091.62,20063034.66,11742056.96,5130949.69,2494107.58,4627775.09,11230,36.92
2021-08-01,2021,8,Aug,Q3,Abuja,17443032.98,11003275.18,6439757.8,2813993.61,1136878.64,2538034.93,6545,36.92
2021-08-01,2021,8,Aug,Q3,Kano,16916958.46,10671421.04,6245537.42,2729124.75,1288458.44,2461488.87,5362,36.92
2021-08-01,2021,8,Aug,Q3,Port Harcourt,14808081.24,9341115.91,5466965.34,2388910.58,1049885.92,2154638.33,4892,36.92
2021-08-01,2021,8,Aug,Q3,Ibadan,11829412.02,7462135.51,4367276.52,1908377.4,645604.02,1721229.38,4002,36.92
2021-09-01,2021,9,Sep,Q3,Lagos,32707791.73,20061009.27,12646782.46,5961277.62,2051560.92,4679853.39,12510,38.67
2021-09-01,2021,9,Sep,Q3,Abuja,19163325.66,11753641.36,7409684.3,3492681.66,1490275.41,2741901.85,7517,38.67
2021-09-01,2021,9,Sep,Q3,Kano,16487590.11,10112504.71,6375085.4,3005005.74,1311509.25,2359055.76,5934,38.67
2021-09-01,2021,9,Sep,Q3,Port Harcourt,14599508.82,8954468.23,5645040.6,2660886.62,1133290.62,2088907.79,4954,38.67
2021-09-01,2021,9,Sep,Q3,Ibadan,11734555.19,7197276.49,4537278.7,2138724.07,794878.39,1678988.25,4229,38.67
2021-10-01,2021,10,Oct,Q4,Lagos,32676422.49,20819653.81,11856768.68,5186346.93,1962412.52,4669295.22,10206,36.29
2021-10-01,2021,10,Oct,Q4,Abuja,19898586.4,12678305.91,7220280.5,3158270.23,1194014.18,2843407.18,5781,36.29
2021-10-01,2021,10,Oct,Q4,Kano,16802737.96,10705798.27,6096939.69,2666902.36,1303819.68,2401026.13,5685,36.29
2021-10-01,2021,10,Oct,Q4,Port Harcourt,13884256.89,8846299.56,5037957.33,2203685.95,1001402.55,1983989.97,4594,36.29
2021-10-01,2021,10,Oct,Q4,Ibadan,11300301.82,7199942.77,4100359.05,1793564.94,718396.18,1614755.88,3601,36.29
2021-11-01,2021,11,Nov,Q4,Lagos,36576138.06,23056398.01,13519740.04,6750012.41,2375657.96,4738809.34,11252,36.96
2021-11-01,2021,11,Nov,Q4,Abuja,21887231.89,13796993.25,8090238.64,4039220.51,1332315.57,2835712.69,7231,36.96
2021-11-01,2021,11,Nov,Q4,Kano,20214727.95,12742701.61,7472026.34,3730565.11,1018677.42,2619022.86,6232,36.96
2021-11-01,2021,11,Nov,Q4,Port Harcourt,17066332.81,10758056.56,6308276.25,3149538.59,1345375.02,2211116.36,4823,36.96
2021-11-01,2021,11,Nov,Q4,Ibadan,12557006.89,7915525.37,4641481.52,2317356.53,660002.44,1626887.49,4013,36.96
2021-12-01,2021,12,Dec,Q4,Lagos,43570970.6,24776937.68,18794032.91,7378167.31,2956793.62,7991105.92,14866,43.13
2021-12-01,2021,12,Dec,Q4,Abuja,21466505.08,12207078.5,9259426.57,3635068.58,1208503.44,3937050.6,8832,43.13
2021-12-01,2021,12,Dec,Q4,Kano,22079723.82,12555789.64,9523934.18,3738909.05,1230296.16,4049517.59,7282,43.13
2021-12-01,2021,12,Dec,Q4,Port Harcourt,16015389.99,9107263.72,6908126.27,2711994.37,1072154.03,2937292.33,6340,43.13
2021-12-01,2021,12,Dec,Q4,Ibadan,12876874.44,7322524.87,5554349.58,2180528.29,818952.02,2361674.9,5320,43.13
2022-01-01,2022,1,Jan,Q1,Lagos,27909578.59,17841362.78,10068215.82,5493623.75,1731032.77,3202214.44,8817,36.07
2022-01-01,2022,1,Jan,Q1,Abuja,16037929.71,10252341.19,5785588.52,3156849.94,889429.0,1840117.01,4806,36.07
2022-01-01,2022,1,Jan,Q1,Kano,15125334.05,9668959.03,5456375.02,2977217.81,925659.55,1735410.05,4905,36.07
2022-01-01,2022,1,Jan,Q1,Port Harcourt,11477708.1,7337192.62,4140515.48,2259231.88,714625.35,1316898.52,3903,36.07
2022-01-01,2022,1,Jan,Q1,Ibadan,8807973.41,5630548.97,3177424.44,1733730.65,629586.6,1010585.65,2884,36.07
2022-02-01,2022,2,Feb,Q1,Lagos,24850086.58,15007817.76,9842268.82,3898383.36,1407985.15,4160719.83,8664,39.61
2022-02-01,2022,2,Feb,Q1,Abuja,13252077.7,8003383.26,5248694.43,2078933.57,670440.05,2218832.61,5503,39.61
2022-02-01,2022,2,Feb,Q1,Kano,11673686.41,7050138.75,4623547.67,1831321.78,646212.55,1954558.12,5051,39.61
2022-02-01,2022,2,Feb,Q1,Port Harcourt,10639771.08,6425721.9,4214049.19,1669125.23,563729.56,1781446.77,3848,39.61
2022-02-01,2022,2,Feb,Q1,Ibadan,7967328.91,4811742.6,3155586.3,1249883.07,602894.9,1333992.27,3328,39.61
2022-03-01,2022,3,Mar,Q1,Lagos,30065919.01,18963898.49,11102020.52,5022611.52,2105893.76,4255586.31,11007,36.93
2022-03-01,2022,3,Mar,Q1,Abuja,15548075.83,9806855.78,5741220.05,2597357.65,1195492.71,2200703.68,6183,36.93
2022-03-01,2022,3,Mar,Q1,Kano,13542140.14,8541623.85,5000516.29,2262259.44,761563.75,1916779.8,5373,36.93
2022-03-01,2022,3,Mar,Q1,Port Harcourt,11311611.79,7134731.44,4176880.35,1889642.28,763434.78,1601066.65,4551,36.93
2022-03-01,2022,3,Mar,Q1,Ibadan,9667912.34,6097977.85,3569934.49,1615056.83,720484.8,1368414.36,4078,36.93
2022-04-01,2022,4,Apr,Q2,Lagos,31401489.72,20084679.52,11316810.2,4888385.34,1927761.7,4499897.4,10218,36.04
2022-04-01,2022,4,Apr,Q2,Abuja,18675609.78,11945090.52,6730519.26,2907300.83,1283471.33,2676252.9,5847,36.04
2022-04-01,2022,4,Apr,Q2,Kano,16328529.28,10443876.41,5884652.87,2541922.18,1030065.61,2339911.49,5511,36.04
2022-04-01,2022,4,Apr,Q2,Port Harcourt,13353174.21,8540812.14,4812362.07,2078737.72,973555.55,1913537.05,4881,36.04
2022-04-01,2022,4,Apr,Q2,Ibadan,10409748.08,6658169.92,3751578.17,1620523.75,672708.48,1491738.09,3858,36.04
2022-05-01,2022,5,May,Q2,Lagos,37087827.42,21577710.88,15510116.54,7277917.98,2327498.72,5762538.99,12023,41.82
2022-05-01,2022,5,May,Q2,Abuja,18411503.63,10711819.21,7699684.42,3612975.54,1219744.19,2860696.22,6313,41.82
2022-05-01,2022,5,May,Q2,Kano,18324305.17,10661087.11,7663218.05,3595864.18,992823.36,2847147.71,5671,41.82
