Date,Year,Month,Month_Name,Quarter,Revenue_NGN,Net_Profit_NGN,Gross_Profit_NGN,COGS_NGN,Units_Sold,Gross_Margin_Pct
2021-07-01,2021,7,Jul,Q3,85354027.23,10839782.84,30473968.38,54880058.85,26278,35.7
2021-08-01,2021,8,Aug,Q3,92802576.32000001,13503166.6,34261594.04,58540982.3,32031,36.92
2021-09-01,2021,9,Sep,Q3,94692771.51,13548707.04,36613871.46,58078900.06,35144,38.67
2021-10-01,2021,10,Oct,Q4,94562305.56,13512474.379999999,34312305.25,60250000.32,29867,36.29
2021-11-01,2021,11,Nov,Q4,108301437.6,14031548.74,40031762.79,68269674.8,33551,36.96
2021-12-01,2021,12,Dec,Q4,116009463.93,21276641.34,50039869.51,65969594.410000004,42640,43.13
2022-01-01,2022,1,Jan,Q1,79358523.86,9105225.67,28628119.28,50730404.59,25315,36.07
2022-02-01,2022,2,Feb,Q1,68382950.67999999,11449549.6,27084146.41,41298804.269999996,26394,39.61
2022-03-01,2022,3,Mar,Q1,80135659.11,11342550.8,29590571.7,50545087.41,31192,36.93
2022-04-01,2022,4,Apr,Q2,90168551.07,12921336.93,32495922.57,57672628.51,30315,36.04
2022-05-01,2022,5,May,Q2,100908243.11,15678666.72,42199792.2,58708450.9,33095,41.82
2022-06-01,2022,6,Jun,Q2,106028814.76,18193430.03,46546099.12,59482715.63,32623,43.9
2022-07-01,2022,7,Jul,Q3,101015788.88,18689595.95,43154599.97,57861188.92,33087,42.72
2022-08-01,2022,8,Aug,Q3,99093262.78,15557940.83,40359617.81,58733644.96,28519,40.73
2022-09-01,2022,9,Sep,Q3,100051422.22,12420002.3,36838785.93,63212636.300000004,33358,36.82
2022-10-01,2022,10,Oct,Q4,109414406.25,14258538.66,39818850.25,69595556.02,41038,36.39
2022-11-01,2022,11,Nov,Q4,130824885.3,24984358.42,58780247.199999996,72044638.09,36163,44.93
2022-12-01,2022,12,Dec,Q4,138716386.42,22996799.09,55337471.85,83378914.53999999,50099,39.89
2023-01-01,2023,1,Jan,Q1,93268104.11,16557199.41,38077533.56,55190570.55,31042,40.83
2023-02-01,2023,2,Feb,Q1,80711174.55,13159949.059999999,34527370.31,46183804.230000004,31460,42.78
2023-03-01,2023,3,Mar,Q1,95647569.05,16269153.4,41894922.97,53752646.08,38541,43.8
2023-04-01,2023,4,Apr,Q2,102405448.32000001,16815833.5,42625088.45,59780359.88,30238,41.62
2023-05-01,2023,5,May,Q2,110966199.57000001,14661994.81,39471679.16,71494520.4,33054,35.57
2023-06-01,2023,6,Jun,Q2,123726545.05,21671132.41,51678067.07,72048478.0,37960,41.77
2023-07-01,2023,7,Jul,Q3,117248067.14,17385098.759999998,46678910.45,70569156.69,42645,39.81
2023-08-01,2023,8,Aug,Q3,118460896.79,15327633.379999999,44979377.92,73481518.87,46330,37.97
2023-09-01,2023,9,Sep,Q3,119846470.36,18396181.88,49572939.230000004,70273531.15,46069,41.36
2023-10-01,2023,10,Oct,Q4,130229220.49000001,14934636.24,45947706.9,84281513.59,45745,35.28
2023-11-01,2023,11,Nov,Q4,143400740.26,17230686.17,50728767.67,92671972.6,47317,35.38
2023-12-01,2023,12,Dec,Q4,157134355.55,29766014.47,66754095.12,90380260.43,49650,42.48
